,feature,score
,"fBodyAcc-bandsEnergy()-25,48",0
,"fBodyAcc-bandsEnergy()-33,40_1",0
,"fBodyAcc-bandsEnergy()-33,48_1",0
,"fBodyAcc-bandsEnergy()-25,48_1",0
,"fBodyAcc-bandsEnergy()-17,24_2",0
,"fBodyAcc-bandsEnergy()-25,32_2",0
,"fBodyAcc-bandsEnergy()-41,48_2",0
,"fBodyAcc-bandsEnergy()-49,56_2",0
,"fBodyAcc-bandsEnergy()-25,48_2",0
,fBodyAccJerk-mean()-Y,0
,fBodyAccJerk-mean()-Z,0
,fBodyAccJerk-mad()-X,0
,fBodyAccJerk-max()-X,0
,fBodyAccJerk-sma(),0
,fBodyAccJerk-energy()-X,0
,fBodyAccJerk-energy()-Z,0
,fBodyAccJerk-iqr()-X,0
,fBodyAccJerk-iqr()-Y,0
,"fBodyAccJerk-bandsEnergy()-25,32",0
,"fBodyAccJerk-bandsEnergy()-25,48",0
,"fBodyAccJerk-bandsEnergy()-41,48_1",0
,"fBodyAccJerk-bandsEnergy()-33,48_1",0
,"fBodyAccJerk-bandsEnergy()-1,24_1",0
,"fBodyAccJerk-bandsEnergy()-1,16_2",0
,"fBodyAccJerk-bandsEnergy()-33,48_2",0
,fBodyGyro-mean()-X,0
,fBodyGyro-mean()-Y,0
,fBodyGyro-sma(),0
,"fBodyGyro-bandsEnergy()-33,48",0
,"fBodyGyro-bandsEnergy()-17,32_1",0
,"fBodyGyro-bandsEnergy()-33,48_2",0
,"fBodyGyro-bandsEnergy()-25,48_2",0
,fBodyAccMag-sma(),0
,fBodyBodyAccJerkMag-mad(),0
,fBodyBodyAccJerkMag-energy(),0
,fBodyBodyAccJerkMag-entropy(),0
,fBodyBodyGyroMag-mean(),0
,fBodyBodyGyroMag-mad(),0
,fBodyBodyGyroMag-energy(),0
,fBodyBodyGyroMag-entropy(),0
,fBodyBodyGyroJerkMag-mean(),0
,fBodyBodyGyroJerkMag-std(),0
,fBodyBodyGyroJerkMag-mad(),0
,fBodyBodyGyroJerkMag-entropy(),0
